record_quarter,region,avg_temperature,min_temperature,max_temperature,avg_humidity,total_precipitation,avg_wind_speed,record_days
2025-Q4,石家庄市,7.9333333333333345,1.1,13.4,59.43333333333334,168.70000000000002,1.7033333333333331,3
2025-Q4,福州市,20.033333333333335,15.4,26.2,69.66666666666667,113.69999999999999,1.9066666666666665,3
2025-Q4,秦皇岛市,5.633333333333334,-1.3,11.8,50.800000000000004,49.2,3.03,3
2025-Q4,西宁市,1.5333333333333332,-3.2,7.3,59.23333333333333,82.69999999999999,1.75,3
2025-Q4,西安市,9.133333333333333,3.5,14.6,73.50000000000001,160.29999999999998,1.8233333333333333,3
2025-Q4,贵阳市,11.433333333333335,7.7,16.6,80.43333333333334,220.2,3.1300000000000003,3
2025-Q4,郑州市,10.433333333333334,5.3,14.5,62.76666666666667,149.2,2.3699999999999997,3
2025-Q4,酒泉市,1.6666666666666663,-4.3,8.2,43.03333333333334,14.7,1.6466666666666667,3
2025-Q4,重庆市,15.466666666666667,11.1,21.4,84.26666666666667,298.59999999999997,1.1900000000000002,3
2025-Q4,银川市,3.2999999999999994,-3.2,10.2,56.666666666666664,24.7,2.0933333333333333,3
2025-Q4,长春市,-1.0,-10.1,6.8,55.800000000000004,29.700000000000003,2.8800000000000003,3
2025-Q4,长沙市,15.666666666666666,11.4,21.3,72.3,133.1,2.396666666666667,3
2025-Q4,阿勒泰市,-3.866666666666667,-9.9,2.7,59.63333333333333,100.6,1.0533333333333335,3
2025-Q4,青岛市,10.799999999999999,4.6,16.6,65.73333333333333,126.9,3.5700000000000003,3
